_id,total_ratings
Dr Willmar Schwabe India Pvt Ltd,117767
SBL Pvt Ltd,26540
Dr Reckeweg & Co,13478
Bjain Pharmaceuticals Pvt. Ltd.,5199
Bakson Drugs & Pharmaceuticals Pvt. ltd.,2446
Bhargava Phytolab,1100
New Life Laboratories Pvt Ltd,998
Adel Pekana Germany,589
LDD Bioscience Pvt Ltd,561
Lord's Homoeopathic Laboratory Pvt Ltd,540
Wheezal Homoeo Pharma,462
HAPDCO,308
Allen Homoeo & Herbal Products Ltd,295
Fourrts India Laboratories Pvt Ltd,267
Ralson Remedies Pvt Ltd,220
Medisynth Chemicals Pvt Ltd,178
HASLAB,170
Hapro Homeo Chem Pvt Ltd,38
Renovision Exports Pvt Ltd,21
Allen Healthcare,20
Similia Homoeo Laboratory,17
Bio-India Pharma Pvt Ltd,16
Sett Dey & Co (Homeo) Lab,10
Boericke Homoeo Pharmacy,0
Gurudev Veterinaries,0
Radient Pharma,0
Healing Herbs UK,0
Bahola Labs,0
St. Georgeâ€™s Homoeopathy,0
Dr. Romas Homeopathy,0
Homeotrade,0
Hering Pharma,0
Medilexicon,0
Nanak Laboratories Pvt Ltd,0
Rxhomeo Private Limited,0
Adven Biotech Pvt Ltd,0
Kent Pharmaceuticals,0
Healwell International Limited,0
German Homoeo Care and Cure Pvt. Ltd.,0
Hahnemann Publishing Co. Pvt. Ltd.,0
Father Muller Charitable Institutions,0
Organon Homoeo Laboratory Pvt Ltd.,0
Guru Tegh Bahadur Pharma,0
Ankur Pharmaceutical,0
Dr Willmar Schwabe Germany,0
Boericke Research Laboratory,0
M Bhattacharyya & Co Pvt Ltd,0
Neon Homoeopathy,0
Dr. Majumder Homeo World,0
