Brand Name,Average Price,Minimum Price,Maximum Price,Product Count
Adel Pekana Germany,262.9534884,144,472,43
Adven Biotech Pvt Ltd,177.6190476,170,190,42
Allen Healthcare,177.5,160,195,2
Allen Homoeo & Herbal Products Ltd,168.5652174,112,195,23
Ankur Pharmaceutical,120,120,120,1
Bahola Labs,144.2857143,140,145,7
Bakson Drugs & Pharmaceuticals Pvt. ltd.,183.8742857,55,500,105
Bhargava Phytolab,160,160,160,20
Bio-India Pharma Pvt Ltd,347.7777778,90,626,9
Bjain Pharmaceuticals Pvt. Ltd.,205.5087404,49,1319,389
Boericke Homoeo Pharmacy,1289,1065,1513,2
Boericke Research Laboratory,280,280,280,1
Dr Reckeweg & Co,196.745098,135,975,153
Dr Willmar Schwabe Germany,115,115,115,1
Dr Willmar Schwabe India Pvt Ltd,134.1688312,74,737,539
Dr. Majumder Homeo World,897.4285714,248,2130,21
Dr. Romas Homeopathy,350,350,350,1
Father Muller Charitable Institutions,157.5,145,170,2
Fourrts India Laboratories Pvt Ltd,100,100,100,1
German Homoeo Care and Cure Pvt. Ltd.,141,141,141,1
Guru Tegh Bahadur Pharma,349.5,300,399,2
Gurudev Veterinaries,175,175,175,1
HAPDCO,127,90,164,2
HASLAB,110,70,150,2
Hahnemann Publishing Co. Pvt. Ltd.,126,126,126,1
Hapro Homeo Chem Pvt Ltd,266.4,109,374,25
Healing Herbs UK,1275,1275,1275,1
Healwell International Limited,170,170,170,20
Hering Pharma,660,660,660,1
Homeotrade,211.8888889,108,695,18
Kent Pharmaceuticals,160,160,160,1
LDD Bioscience Pvt Ltd,225.6981818,92,631,55
Lord's Homoeopathic Laboratory Pvt Ltd,173.5558824,92,937,34
M Bhattacharyya & Co Pvt Ltd,100,100,100,1
Medilexicon,155,155,155,20
Medisynth Chemicals Pvt Ltd,119.5,105,163,4
Nanak Laboratories Pvt Ltd,130,130,130,1
Neon Homoeopathy,489,489,489,1
New Life Laboratories Pvt Ltd,167.5,125,210,2
Organon Homoeo Laboratory Pvt Ltd.,42,42,42,1
Radient Pharma,126,126,126,1
Ralson Remedies Pvt Ltd,320,320,320,20
Renovision Exports Pvt Ltd,166.6,130,180,5
Rxhomeo Private Limited,109.5,96,150,8
SBL Pvt Ltd,136.3643123,70,320,269
Sett Dey & Co (Homeo) Lab,106.2125,64.8,432,16
Similia Homoeo Laboratory,91.56666667,77,115,3
St. Georgeâ€™s Homoeopathy,231.6666667,165,235,21
Wheezal Homoeo Pharma,196.4390805,75,883,87
